feature,mean_abs_shap
month,0.005441816010310085
ATR_pct,0.004718340873565198
ret_63d,0.004395572326953103
price_to_SMA200,0.0033404742039301926
vol_63d,0.002120189716220962
vol_21d,0.0019585805682091196
MACD_hist,0.0016153711970192184
MACD_line,0.0015859910796878084
MACD_signal,0.0013497386311972994
price_to_SMA50,0.0013095596563805327
drawdown,0.0011467602475846226
vol_10d,0.0005781929915712785
ret_10d,0.0005381587542608587
ret_21d,0.0004883373181052359
price_to_SMA20,0.00031538095455595363
vol_ratio,0.00029274335473981737
momentum_21,0.00023218123690529115
RSI_14,0.000188857805976565
BB_pctB,0.00013572466307560296
ret_5d,7.428942117809203e-05
dow,7.981107507959599e-07
ret_1d,0.0
momentum_10,0.0
